Date,Extension,Number of Files Created,File Size in B,File Size in KB,File Size in MB,File Type,File Format,,,,,
9/22/2009,.doc,3,125440,125.44,0.125,Text Document,Microsoft Word Document,,,,,
9/22/2009,.pdf,2,984285,984.285,0.984,PDF,Portable Document Format (PDF),,,,,
9/23/2009,.dwg,3,25883778,25883.778,25.884,CAD File (2d or 3d),AutoCAD Drawing,,,,,
9/23/2009,.jpg,6,2217115,2217.115,2.217,Image,JPEG File Interchange Format,,,,,
9/23/2009,.doc,4,294400,294.4,0.294,Text Document,Microsoft Word Document,,,,,
9/23/2009,.mat,1,50,0.05,0,CAD File (2d or 3d),Microstation Material file,,,,,
9/23/2009,.pdf,1,795692,795.692,0.796,PDF,Portable Document Format (PDF),,,,,
9/24/2009,.dwg,40,22554108,22554.108,22.554,CAD File (2d or 3d),AutoCAD Drawing,,,,,
9/24/2009,.dll,1,1592832,1592.832,1.593,Text Document,Dynamic Link Library,,,,,
9/24/2009,.jpg,2,786235,786.235,0.786,Image,JPEG File Interchange Format,,,,,
9/24/2009,.xls,1,143872,143.872,0.144,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
9/24/2009,.doc,7,384512,384.512,0.385,Text Document,Microsoft Word Document,,,,,
9/24/2009,.pal,1,24729,24.729,0.025,CAD File (2d or 3d),Microstation Material Palette,,,,,
9/24/2009,.pdf,20,46123014,46123.014,46.123,PDF,Portable Document Format (PDF),,,,,
9/24/2009,.config,1,20853,20.853,0.021,Program or System File,,,,,,
9/25/2009,.dwg,407,297527086,297527.086,297.527,CAD File (2d or 3d),AutoCAD Drawing,,,,,
9/25/2009,.dwt,5,665181,665.181,0.665,CAD File (2d or 3d),AutoCAD Drawing Template File,,,,,
9/25/2009,.dst,3,97518,97.518,0.098,Program or System File,DS_store file (MAC),,,,,
9/25/2009,.dgn,27,12850481,12850.481,12.85,CAD File (2d or 3d),Microstation Design File,,,,,
9/25/2009,.txt,4,10872,10.872,0.011,Text Document,Plain Text File,,,,,
9/25/2009,.pdf,168,85072797,85072.797,85.073,PDF,Portable Document Format (PDF),,,,,
9/26/2009,.dwg,44,284582757,284582.757,284.583,CAD File (2d or 3d),AutoCAD Drawing,,,,,
9/26/2009,.pdf,4,40230657,40230.657,40.231,PDF,Portable Document Format (PDF),,,,,
9/27/2009,.dwg,34,49197950,49197.95,49.198,CAD File (2d or 3d),AutoCAD Drawing,,,,,
9/27/2009,.dgn,4,544768,544.768,0.545,CAD File (2d or 3d),Microstation Design File,,,,,
9/27/2009,.pdf,3,31359881,31359.881,31.36,PDF,Portable Document Format (PDF),,,,,
9/28/2009,.dwg,54,116275661,116275.661,116.276,CAD File (2d or 3d),AutoCAD Drawing,,,,,
9/28/2009,.xls,13,952832,952.832,0.953,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
9/28/2009,.doc,1,52224,52.224,0.052,Text Document,Microsoft Word Document,,,,,
9/28/2009,.dgn,1,100864,100.864,0.101,CAD File (2d or 3d),Microstation Design File,,,,,
9/28/2009,.bcnv,1,26445,26.445,0.026,CAD File (2d or 3d),MicroStation V8 Batch Conversion File,,,,,
9/28/2009,.pdf,154,267902871,267902.871,267.903,PDF,Portable Document Format (PDF),,,,,
9/29/2009,.dwg,10,5222912,5222.912,5.223,CAD File (2d or 3d),AutoCAD Drawing,,,,,
9/29/2009,.plt,5,4816466,4816.466,4.816,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
9/29/2009,.ifc,14,55412366,55412.366,55.412,CAD File (2d or 3d),Industry Foundation Classes,,,,,
9/29/2009,.xls,2,236544,236.544,0.237,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
9/29/2009,.job,1,7850,7.85,0.008,CAD File (2d or 3d),Microstation Batch Print File,,,,,
9/29/2009,.pdf,29,108239971,108239.971,108.24,PDF,Portable Document Format (PDF),,,,,
9/30/2009,.xls,4,502784,502.784,0.503,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
9/30/2009,.doc,1,46080,46.08,0.046,Text Document,Microsoft Word Document,,,,,
9/30/2009,.pdf,7,1291586,1291.586,1.292,PDF,Portable Document Format (PDF),,,,,
10/1/2009,.xls,2,53248,53.248,0.053,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
10/1/2009,.dgn,1,394240,394.24,0.394,CAD File (2d or 3d),Microstation Design File,,,,,
10/1/2009,.pdf,4,370827,370.827,0.371,PDF,Portable Document Format (PDF),,,,,
10/2/2009,.xls,1,3511296,3511.296,3.511,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
10/2/2009,.pdf,8,8197275,8197.275,8.197,PDF,Portable Document Format (PDF),,,,,
10/4/2009,.dgn,1,212480,212.48,0.212,CAD File (2d or 3d),Microstation Design File,,,,,
10/4/2009,.pdf,12,60863097,60863.097,60.863,PDF,Portable Document Format (PDF),,,,,
10/5/2009,.CATPart,2,2657155,2657.155,2.657,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/5/2009,.xls,3,91136,91.136,0.091,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
10/5/2009,.pdf,12,24365552,24365.552,24.366,PDF,Portable Document Format (PDF),,,,,
10/5/2009,.stp,2,3018615,3018.615,3.019,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
10/6/2009,.CATPart,2,844923,844.923,0.845,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/6/2009,.log,13,169990,169.99,0.17,Text Document,Log File,,,,,
10/6/2009,.xls,3,264192,264.192,0.264,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
10/6/2009,.dgn,2,1392128,1392.128,1.392,CAD File (2d or 3d),Microstation Design File,,,,,
10/6/2009,.pdf,11,39127546,39127.546,39.128,PDF,Portable Document Format (PDF),,,,,
10/6/2009,.stp,14,24268984,24268.984,24.269,CAD File (2d or 3d),Standard for the Exchange of Product model data,,,,,
10/7/2009,.CATPart,2,1091667,1091.667,1.092,CAD File (2d or 3d),CATIA V5 Part file,,,,,
10/7/2009,.igs,1,46084,46.084,0.046,CAD File (2d or 3d),Initial Graphics Exchange Specification (IGES),,,,,
